Date,Archibald Park Cyclists,Beach Road Cyclists,Carlton Gore Cycle Counter Cyclists,Curran Street Total Cyclists,Dominion Road Total Cyclists,East Coast Road Cyclists,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Road Cyclists,Great North Rd Total,Great South Road Total Cyclists,HighBrook Cyclists,Hopetoun Street Cyclists,Karangahape Road Cyclists,Lagoon Drive Cyclists,Lake Road Total Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Matakana Cyclists,Nelson Street Cyclists,Nelson Street Lightpath Counter Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Waiheke Cyclists,Orewa Path Cyclists,Ormiston Rd Total Cyclists,Pukekohe - Queen St Cyclists,Quay St Spark Arena Total Cyclists,Quay St Totem UZELT Cyclists,Rankin Ave Cyclists,Saint Lukes Rd Total,SH20A path (sth of Kirkbride Rd),SW Shared Path Cyclists,Symonds St Total Cyclists,Tamaki Drive Total Cyclists,TeAtatu Peninsula Pathway Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Cyclists,Upper Harbour  Cyclists,Upper Queen Street Cyclists,Victoria Street West Total Cyclists,Waterview Unitec Counter Cyclists
Mon 1 Jan 2018,,135,27,144,64,48,15,108,149,19,91,46,11,43,139,76,220,281,22,79,148,264,272,416,186,428,23,10,668,596,,93,,129,77,757,,522,121,104,47,55,209
Tue 2 Jan 2018,,240,81,305,94,124,20,209,262,28,134,45,19,58,227,98,255,455,37,95,294,466,506,667,199,556,43,14,1303,1089,,143,,178,148,1551,,873,227,254,68,72,349
Wed 3 Jan 2018,,393,158,309,196,121,17,384,350,38,202,67,30,77,400,148,300,444,31,76,306,418,656,652,271,359,30,24,1241,1004,,173,,165,296,1461,,897,246,186,115,104,257
Thu 4 Jan 2018,,97,73,108,73,27,14,176,83,39,96,54,13,59,171,58,107,139,12,5,73,73,158,135,69,50,24,10,360,222,,57,,30,104,448,,198,26,36,57,59,32
Fri 5 Jan 2018,,45,38,21,45,20,16,104,41,26,69,43,9,32,110,49,45,31,12,9,64,34,85,47,41,26,20,12,153,99,,27,,24,67,184,,100,13,5,56,35,25
Sat 6 Jan 2018,,182,77,192,103,99,30,173,197,32,150,65,26,65,242,115,236,307,51,87,152,344,313,399,180,300,23,10,720,711,,132,,141,130,876,,626,158,106,52,69,247
Sun 7 Jan 2018,,354,100,468,140,164,28,288,416,27,206,91,14,57,386,280,443,779,35,80,322,545,726,998,276,700,47,21,1747,1326,,205,,282,203,1957,,1165,321,397,74,114,535
Mon 8 Jan 2018,,465,259,329,390,101,17,583,500,58,271,88,55,166,593,160,353,383,52,39,611,655,1051,716,237,415,30,17,1576,1170,,225,,223,401,1669,,945,285,143,184,145,250
Tue 9 Jan 2018,,441,295,399,418,123,19,691,504,65,325,87,60,173,670,178,353,487,47,43,569,688,1164,887,240,377,42,19,1879,1392,,255,,285,501,1985,,1055,228,254,178,154,282
Wed 10 Jan 2018,,454,281,364,362,105,16,623,538,65,296,94,66,161,588,185,397,430,50,35,595,640,1115,830,240,385,49,19,1594,1386,,270,,209,431,1747,,968,220,178,184,162,208
Thu 11 Jan 2018,,462,252,371,431,113,16,656,525,64,346,66,61,188,626,180,361,449,32,35,604,731,1068,716,187,268,58,23,1555,1362,,240,,208,449,1749,,982,174,229,198,158,244
Fri 12 Jan 2018,,400,255,376,357,76,15,574,398,51,312,87,45,174,497,143,297,385,36,58,523,575,894,658,244,355,56,17,1537,1315,,200,,161,396,1730,,986,153,150,152,168,241
Sat 13 Jan 2018,,276,119,390,201,128,25,292,325,18,192,79,48,78,323,178,401,602,65,88,262,449,555,788,213,479,55,6,1433,1062,,147,,176,178,1664,,912,149,362,106,127,345
