Station,Date(NZST),Time(NZST),Amount(mm),Period(Hrs),Freq
22719,20170101,0000,0.0,1,H
37852,20170101,0000,0.0,1,H
22719,20170101,0100,0.0,1,H
37852,20170101,0100,0.0,1,H
22719,20170101,0200,0.0,1,H
37852,20170101,0200,0.0,1,H
22719,20170101,0300,0.0,1,H
37852,20170101,0300,0.0,1,H
22719,20170101,0400,0.0,1,H
37852,20170101,0400,0.0,1,H
22719,20170101,0500,0.0,1,H
37852,20170101,0500,0.0,1,H
22719,20170101,0600,0.0,1,H
37852,20170101,0600,0.0,1,H
22719,20170101,0700,0.0,1,H
37852,20170101,0700,0.0,1,H
22719,20170101,0800,0.0,1,H
37852,20170101,0800,0.0,1,H
22719,20170101,0900,0.0,1,H
37852,20170101,0900,0.0,1,H
22719,20170101,1000,0.0,1,H
37852,20170101,1000,0.0,1,H
22719,20170101,1100,0.0,1,H
37852,20170101,1100,0.0,1,H
22719,20170101,1200,0.0,1,H
37852,20170101,1200,0.0,1,H
22719,20170101,1300,0.0,1,H
37852,20170101,1300,0.0,1,H
22719,20170101,1400,0.0,1,H
37852,20170101,1400,0.0,1,H
22719,20170101,1500,0.0,1,H
37852,20170101,1500,0.0,1,H
22719,20170101,1600,0.0,1,H
37852,20170101,1600,0.0,1,H
22719,20170101,1700,0.0,1,H
37852,20170101,1700,0.0,1,H
22719,20170101,1800,0.0,1,H
37852,20170101,1800,0.0,1,H
22719,20170101,1900,0.0,1,H
37852,20170101,1900,0.0,1,H
22719,20170101,2000,0.0,1,H
37852,20170101,2000,0.0,1,H
22719,20170101,2100,0.0,1,H
37852,20170101,2100,0.0,1,H
22719,20170101,2200,0.0,1,H
37852,20170101,2200,0.0,1,H
22719,20170101,2300,0.0,1,H
37852,20170101,2300,0.0,1,H
22719,20170102,0000,0.0,1,H
37852,20170102,0000,0.0,1,H
22719,20170102,0100,0.0,1,H
37852,20170102,0100,0.0,1,H
22719,20170102,0200,0.0,1,H
37852,20170102,0200,0.0,1,H
22719,20170102,0300,0.0,1,H
37852,20170102,0300,0.0,1,H
22719,20170102,0400,0.0,1,H
37852,20170102,0400,0.0,1,H
22719,20170102,0500,0.0,1,H
37852,20170102,0500,0.0,1,H
22719,20170102,0600,0.0,1,H
37852,20170102,0600,0.0,1,H
22719,20170102,0700,0.0,1,H
37852,20170102,0700,0.0,1,H
22719,20170102,0800,0.0,1,H
37852,20170102,0800,0.0,1,H
22719,20170102,0900,0.0,1,H
37852,20170102,0900,0.0,1,H
22719,20170102,1000,0.0,1,H
37852,20170102,1000,0.0,1,H
22719,20170102,1100,0.0,1,H
37852,20170102,1100,0.0,1,H
22719,20170102,1200,0.0,1,H
37852,20170102,1200,0.0,1,H
22719,20170102,1300,0.2,1,H
37852,20170102,1300,0.0,1,H
22719,20170102,1400,0.0,1,H
37852,20170102,1400,0.1,1,H
22719,20170102,1500,0.0,1,H
37852,20170102,1500,0.0,1,H
22719,20170102,1600,0.0,1,H
37852,20170102,1600,0.1,1,H
22719,20170102,1700,0.0,1,H
37852,20170102,1700,0.1,1,H
22719,20170102,1800,0.0,1,H
37852,20170102,1800,0.6,1,H
22719,20170102,1900,0.0,1,H
37852,20170102,1900,0.0,1,H
22719,20170102,2000,0.0,1,H
37852,20170102,2000,0.1,1,H
22719,20170102,2100,0.0,1,H
37852,20170102,2100,0.1,1,H
22719,20170102,2200,0.0,1,H
37852,20170102,2200,0.1,1,H
